the_geom,match_addr,x coordinate,y coordinate,category,layer
POINT (-118.30854600000002 34.013921499999626),"3916 S Western Ave, Los Angeles, CA 90062, USA",-118.308546,34.0139215,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.262506 33.792708399999626),"1450 N Avalon Blvd, Wilmington, CA 90744, USA",-118.262506,33.7927084,City of LA Pool,la_city_year-round_pools
POINT (-118.3017642 34.05421419999963),"3250 San Marino St, Los Angeles, CA 90006, USA",-118.3017642,34.0542142,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.29380350000001 33.741255399999616),"769 W 3rd St, San Pedro, CA 90731, USA",-118.2938035,33.7412554,LA County Cooling Center,coolingcenters
POINT (-118.15024720000001 34.16363799999964),"1020 Fair Oaks Ave, Pasadena, CA 91103, USA",-118.1502472,34.163638,LA County Cooling Center,coolingcenters
POINT (-118.24896200000002 33.93660059999962),"1464 E 109th St, Los Angeles, CA 90059, USA",-118.248962,33.9366006,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.3328166 34.05021239999964),"1240 West Blvd, Los Angeles, CA 90019, USA",-118.3328166,34.0502124,City of LA Recreation Center,la_city_recreation_centers
POINT (-117.7332139 34.115417699999654),"1700 Danbury Rd, Claremont, CA 91711, USA",-117.7332139,34.1154177,LA County Cooling Center,coolingcenters
POINT (-118.3714416 34.21813909999964),"8133 Vineland Ave, Sun Valley, CA 91352, USA",-118.3714416,34.2181391,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.190231 34.02309539999963),"3864 Whittier Blvd, Los Angeles, CA 90023, USA",-118.190231,34.0230954,LA County Cooling Center,coolingcenters
POINT (-118.50301110000001 34.17359839999964),"17015 Burbank Blvd, Encino, CA 91316, USA",-118.5030111,34.1735984,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.26284749999999 34.02388679999962),"2415 Trinity St, Los Angeles, CA 90011, USA",-118.2628475,34.0238868,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.4339714 34.28094079999964),"208 Park Ave, San Fernando, CA 91340, USA",-118.4339714,34.2809408,LA County Cooling Center,coolingcenters
POINT (-117.8297576 34.60346609999964),"16801 E Ave P, Lake Los Angeles, CA 93591, USA",-117.8297576,34.6034661,LA County Cooling Center,coolingcenters
POINT (-118.21414000000001 34.03212089999964),"933 S Mott St, Los Angeles, CA 90023, USA",-118.21414,34.0321209,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.2706603 34.069142699999624),"227 N Lake St, Los Angeles, CA 90026, USA",-118.2706603,34.0691427,City of LA Recreation Center,la_city_recreation_centers
POINT (-118.33459740000002 34.04820669999965),"4526 Pico Blvd, Los Angeles, CA 90019, USA",-118.3345974,34.0482067,City of LA Pool,la_city_year-round_pools
POINT (-118.4443663 33.995161399999645),"2490 Walgrove Ave, Los Angeles, CA 90066, USA",-118.4443663,33.9951614,City of LA Pool,la_city_year-round_pools
POINT (-118.22246339999998 33.89869559999964),"301 N Tamarind Ave, Compton, CA 90220, USA",-118.2224634,33.8986956,LA County Cooling Center,coolingcenters
POINT (-118.2531191 34.14328009999964),"201 E Colorado St, Glendale, CA 91205, USA",-118.2531191,34.1432801,LA County Cooling Center,coolingcenters
