time,min,mean,max,std,count
2007-02-28 00:00:00+00:00,295.73016,295.73016,295.73016,,1
2007-05-31 00:00:00+00:00,,,,,0
2007-08-31 00:00:00+00:00,,,,,0
2007-11-30 00:00:00+00:00,,,,,0
2008-02-29 00:00:00+00:00,297.19882,297.19882,297.19882,,1
2008-05-31 00:00:00+00:00,,,,,0
2008-08-31 00:00:00+00:00,,,,,0
2008-11-30 00:00:00+00:00,,,,,0
2009-02-28 00:00:00+00:00,297.5701,297.5701,297.5701,,1
2009-05-31 00:00:00+00:00,,,,,0
2009-08-31 00:00:00+00:00,,,,,0
2009-11-30 00:00:00+00:00,,,,,0
2010-02-28 00:00:00+00:00,297.06354,297.06354,297.06354,,1
2010-05-31 00:00:00+00:00,,,,,0
2010-08-31 00:00:00+00:00,,,,,0
2010-11-30 00:00:00+00:00,,,,,0
2011-02-28 00:00:00+00:00,296.09677,296.09677,296.09677,,1
2011-05-31 00:00:00+00:00,,,,,0
2011-08-31 00:00:00+00:00,,,,,0
2011-11-30 00:00:00+00:00,,,,,0
2012-02-29 00:00:00+00:00,297.1236,297.1236,297.1236,,1
2012-05-31 00:00:00+00:00,,,,,0
2012-08-31 00:00:00+00:00,,,,,0
2012-11-30 00:00:00+00:00,,,,,0
2013-02-28 00:00:00+00:00,296.81287,296.81287,296.81287,,1
2013-05-31 00:00:00+00:00,,,,,0
2013-08-31 00:00:00+00:00,,,,,0
2013-11-30 00:00:00+00:00,,,,,0
2014-02-28 00:00:00+00:00,296.6199,296.6199,296.6199,,1
2014-05-31 00:00:00+00:00,,,,,0
2014-08-31 00:00:00+00:00,,,,,0
2014-11-30 00:00:00+00:00,,,,,0
2015-02-28 00:00:00+00:00,295.86456,295.86456,295.86456,,1
2015-05-31 00:00:00+00:00,,,,,0
2015-08-31 00:00:00+00:00,,,,,0
2015-11-30 00:00:00+00:00,,,,,0
2016-02-29 00:00:00+00:00,296.98303,296.98303,296.98303,,1
2016-05-31 00:00:00+00:00,,,,,0
2016-08-31 00:00:00+00:00,,,,,0
2016-11-30 00:00:00+00:00,,,,,0
2017-02-28 00:00:00+00:00,296.20328,296.20328,296.20328,,1
2017-05-31 00:00:00+00:00,,,,,0
2017-08-31 00:00:00+00:00,,,,,0
2017-11-30 00:00:00+00:00,,,,,0
2018-02-28 00:00:00+00:00,297.3269,297.3269,297.3269,,1
2018-05-31 00:00:00+00:00,,,,,0
2018-08-31 00:00:00+00:00,,,,,0
2018-11-30 00:00:00+00:00,,,,,0
2019-02-28 00:00:00+00:00,298.44183,298.44183,298.44183,,1
2019-05-31 00:00:00+00:00,,,,,0
2019-08-31 00:00:00+00:00,,,,,0
2019-11-30 00:00:00+00:00,,,,,0
2020-02-29 00:00:00+00:00,296.7591,296.7591,296.7591,,1
2020-05-31 00:00:00+00:00,,,,,0
2020-08-31 00:00:00+00:00,,,,,0
2020-11-30 00:00:00+00:00,,,,,0
2021-02-28 00:00:00+00:00,297.61032,297.61032,297.61032,,1
2021-05-31 00:00:00+00:00,,,,,0
2021-08-31 00:00:00+00:00,,,,,0
2021-11-30 00:00:00+00:00,,,,,0
2022-02-28 00:00:00+00:00,295.62128,295.62128,295.62128,,1
2022-05-31 00:00:00+00:00,,,,,0
2022-08-31 00:00:00+00:00,,,,,0
2022-11-30 00:00:00+00:00,,,,,0
2023-02-28 00:00:00+00:00,296.2436,296.2436,296.2436,,1
2023-05-31 00:00:00+00:00,,,,,0
2023-08-31 00:00:00+00:00,,,,,0
2023-11-30 00:00:00+00:00,,,,,0
2024-02-29 00:00:00+00:00,296.78793,296.78793,296.78793,,1
2024-05-31 00:00:00+00:00,,,,,0
2024-08-31 00:00:00+00:00,,,,,0
2024-11-30 00:00:00+00:00,,,,,0
2025-02-28 00:00:00+00:00,297.82724,297.82724,297.82724,,1
2025-05-31 00:00:00+00:00,,,,,0
2025-08-31 00:00:00+00:00,,,,,0
2025-11-30 00:00:00+00:00,,,,,0
2026-02-28 00:00:00+00:00,297.69565,297.69565,297.69565,,1
2026-05-31 00:00:00+00:00,,,,,0
2026-08-31 00:00:00+00:00,,,,,0
2026-11-30 00:00:00+00:00,,,,,0
2027-02-28 00:00:00+00:00,297.09998,297.09998,297.09998,,1
2027-05-31 00:00:00+00:00,,,,,0
2027-08-31 00:00:00+00:00,,,,,0
2027-11-30 00:00:00+00:00,,,,,0
2028-02-29 00:00:00+00:00,297.29935,297.29935,297.29935,,1
2028-05-31 00:00:00+00:00,,,,,0
2028-08-31 00:00:00+00:00,,,,,0
2028-11-30 00:00:00+00:00,,,,,0
2029-02-28 00:00:00+00:00,297.2084,297.2084,297.2084,,1
2029-05-31 00:00:00+00:00,,,,,0
2029-08-31 00:00:00+00:00,,,,,0
2029-11-30 00:00:00+00:00,,,,,0
2030-02-28 00:00:00+00:00,297.518,297.518,297.518,,1
2030-05-31 00:00:00+00:00,,,,,0
2030-08-31 00:00:00+00:00,,,,,0
2030-11-30 00:00:00+00:00,,,,,0
2031-02-28 00:00:00+00:00,296.7741,296.7741,296.7741,,1
2031-05-31 00:00:00+00:00,,,,,0
2031-08-31 00:00:00+00:00,,,,,0
2031-11-30 00:00:00+00:00,,,,,0
2032-02-29 00:00:00+00:00,298.16205,298.16205,298.16205,,1
2032-05-31 00:00:00+00:00,,,,,0
2032-08-31 00:00:00+00:00,,,,,0
2032-11-30 00:00:00+00:00,,,,,0
2033-02-28 00:00:00+00:00,296.14215,296.14215,296.14215,,1
2033-05-31 00:00:00+00:00,,,,,0
2033-08-31 00:00:00+00:00,,,,,0
2033-11-30 00:00:00+00:00,,,,,0
2034-02-28 00:00:00+00:00,298.10388,298.10388,298.10388,,1
2034-05-31 00:00:00+00:00,,,,,0
2034-08-31 00:00:00+00:00,,,,,0
2034-11-30 00:00:00+00:00,,,,,0
2035-02-28 00:00:00+00:00,297.71667,297.71667,297.71667,,1
2035-05-31 00:00:00+00:00,,,,,0
2035-08-31 00:00:00+00:00,,,,,0
2035-11-30 00:00:00+00:00,,,,,0
2036-02-29 00:00:00+00:00,297.9595,297.9595,297.9595,,1
2036-05-31 00:00:00+00:00,,,,,0
2036-08-31 00:00:00+00:00,,,,,0
2036-11-30 00:00:00+00:00,,,,,0
2037-02-28 00:00:00+00:00,296.8417,296.8417,296.8417,,1
2037-05-31 00:00:00+00:00,,,,,0
2037-08-31 00:00:00+00:00,,,,,0
2037-11-30 00:00:00+00:00,,,,,0
2038-02-28 00:00:00+00:00,298.4275,298.4275,298.4275,,1
2038-05-31 00:00:00+00:00,,,,,0
2038-08-31 00:00:00+00:00,,,,,0
2038-11-30 00:00:00+00:00,,,,,0
2039-02-28 00:00:00+00:00,296.10043,296.10043,296.10043,,1
2039-05-31 00:00:00+00:00,,,,,0
2039-08-31 00:00:00+00:00,,,,,0
2039-11-30 00:00:00+00:00,,,,,0
2040-02-29 00:00:00+00:00,297.98364,297.98364,297.98364,,1
2040-05-31 00:00:00+00:00,,,,,0
2040-08-31 00:00:00+00:00,,,,,0
2040-11-30 00:00:00+00:00,,,,,0
2041-02-28 00:00:00+00:00,298.7631,298.7631,298.7631,,1
2041-05-31 00:00:00+00:00,,,,,0
2041-08-31 00:00:00+00:00,,,,,0
2041-11-30 00:00:00+00:00,,,,,0
2042-02-28 00:00:00+00:00,297.85803,297.85803,297.85803,,1
2042-05-31 00:00:00+00:00,,,,,0
2042-08-31 00:00:00+00:00,,,,,0
2042-11-30 00:00:00+00:00,,,,,0
2043-02-28 00:00:00+00:00,298.55664,298.55664,298.55664,,1
2043-05-31 00:00:00+00:00,,,,,0
2043-08-31 00:00:00+00:00,,,,,0
2043-11-30 00:00:00+00:00,,,,,0
2044-02-29 00:00:00+00:00,297.66235,297.66235,297.66235,,1
2044-05-31 00:00:00+00:00,,,,,0
2044-08-31 00:00:00+00:00,,,,,0
2044-11-30 00:00:00+00:00,,,,,0
2045-02-28 00:00:00+00:00,297.63885,297.63885,297.63885,,1
2045-05-31 00:00:00+00:00,,,,,0
2045-08-31 00:00:00+00:00,,,,,0
2045-11-30 00:00:00+00:00,,,,,0
